16 , 16 , 69889 , 65536 , 139272 , 4096 , 175310 , 2.67502 
 32 , 32 , 29761 , 65536 , 133128 , 1024 , 112642 , 1.71877 
 64 , 64 , 19729 , 65536 , 131592 , 256 , 96974.4 , 1.47971 
 128 , 128 , 17221 , 65536 , 131208 , 64 , 93057.6 , 1.41995 
 
